Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2017-09-01,6037,"Los Angeles, CA",1,,649900,-0.0002,0.0398,16464,-0.0261,-0.1491,41,0.025,-0.1458,6794,-0.092,-0.0878,360,-0.1,-0.2035,3068,-0.0623,-0.1823,3113,-0.0535,-0.2008,1377900,-0.0035,0.1149,19577,-0.0306,-0.1578,0.1891,-0.0055,-0.0122
2017-09-01,17031,"Cook, IL",2,,277000,-0.0072,0.0897,26510,-0.0142,-0.0509,51,0.0408,-0.1356,9174,-0.0052,0.0501,164,-0.0682,-0.2115,6276,0.0212,-0.0359,2910,-0.0712,-0.2012,428900,-0.0046,0.0701,29420,-0.0202,-0.0683,0.1098,-0.0067,-0.0207
2017-09-01,48201,"Harris, TX",3,,299000,0.0007,-0.0355,15472,-0.102,0.0401,61,0.1731,0.0702,4554,-0.2822,-0.1475,576,0.4118,0.3981,2772,-0.5144,-0.3979,6204,-0.054,-0.0535,446900,0.0182,-0.0225,21676,-0.0888,0.0114,0.401,0.0204,-0.0397
2017-09-01,4013,"Maricopa, AZ",4,,329500,0.0015,0.0444,18421,0.0013,-0.0859,49,-0.0392,-0.0755,7246,0.0366,-0.0163,712,0.1266,0.092,7116,-0.0003,-0.0028,5,0,-0.2857,515200,0.0043,0.0658,18426,0.0013,-0.086,0.0003,0,-0.0001
2017-09-01,6073,"San Diego, CA",5,,660200,-0.0139,0.0541,6057,-0.0205,-0.1887,39,0.0263,-0.1333,3394,-0.1059,-0.0509,176,-0.2,-0.296,2146,-0.0083,-0.0907,19,-0.3871,0.1176,1147100,-0.0126,0.0615,6076,-0.0224,-0.188,0.0031,-0.0019,0.0009
2017-09-01,6059,"Orange, CA",6,,799900,0.0011,0.0667,7642,-0.0542,-0.1863,43,0.075,-0.2037,2562,-0.1804,-0.0889,150,-0.1279,-0.1573,1756,-0.0589,-0.1367,32,-0.1795,-0.2558,1409200,0.0255,0.1109,7674,-0.0548,-0.1866,0.0042,-0.0006,-0.0004
2017-09-01,36047,"Kings, NY",7,*,949500,0.0155,0.4976,2349,0.1133,-0.2836,74,-0.0263,-0.3148,946,0.6199,0.0305,28,-0.3636,-0.2632,274,0.7564,-0.1646,1154,0.127,0.1248,1490000,0.0395,0.3934,3503,0.1177,-0.1863,0.4913,0.006,0.1784
2017-09-01,12086,"Miami-Dade, FL",8,,450000,0,0.0119,20441,-0.0127,0.0426,118,0.0826,0.2421,2334,-0.4329,-0.436,196,-0.4096,-0.3836,2014,-0.3371,-0.3503,5285,0.0048,-0.1206,1015100,0.0014,0.0214,25726,-0.0091,0.0043,0.2585,0.0045,-0.048
2017-09-01,48113,"Dallas, TX",9,,359000,-0.0033,0.0064,5581,0.0011,0.0973,45,0.0714,0,2476,-0.0754,-0.0151,104,-0.2121,-0.2676,1920,-0.0438,0.3598,2229,-0.0797,-0.0857,630000,-0.0072,-0.0331,7810,-0.0234,0.038,0.3994,-0.035,-0.08
2017-09-01,53033,"King, WA",10,*,635200,0.0019,0.1549,3050,0.0273,-0.1333,30,0.1111,-0.1176,2752,0.033,0.1334,80,0.0811,0.2121,940,0.0633,-0.1562,1360,7.8889,,1018500,0.0236,0.1693,4410,0.4126,0.2532,0.4459,0.3944,0.4459
